id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,BuildingType,StructureType,OccupancyClass_Actual,NightPopulation,DayPopulation,geometry,OccupancyClass,DesignLevel,HeightClass
35998,37.654916,-122.03579,2294.0,1,1983,558064.6329999999,372043.089,W,W1,RES1,4,4,POINT (-122.03579 37.654916),RES1,High-Code,
35999,37.654968,-122.03645899999998,2181.0,1,1983,542950.9450000001,361967.297,M,RM1,RES1,4,3,POINT (-122.03645899999998 37.654968),RES1,High-Code,Low-Rise
36000,37.650316,-122.035577,1000.0,1,1983,752510.764,376255.382,C,PC2,GOV1,0,1,POINT (-122.035577 37.650316),GOV1,High-Code,Low-Rise
36001,37.648140000000005,-122.03868600000001,960.0,2,1980,542893.362,361928.908,M,RM1,RES1,3,2,POINT (-122.03868600000001 37.648140000000005),RES1,High-Code,Low-Rise
36002,37.649928,-122.036732,1163.0,2,1983,565040.68,376693.787,M,RM1,RES1,2,1,POINT (-122.036732 37.649928),RES1,High-Code,Low-Rise
36003,37.665861,-122.03133299999999,5947.0,1,1971,1084281.778,722854.519,M,RM1,RES1,2,1,POINT (-122.03133299999999 37.665861),RES1,Moderate-Code,Low-Rise
36004,37.665944,-122.03074400000001,2277.0,1,1971,518526.74700000003,345684.498,W,W1,RES1,2,1,POINT (-122.03074400000001 37.665944),RES1,Moderate-Code,
36005,37.655469000000004,-122.048884,842.960288,1,1983,467291.788,233645.894,M,RM1,COM8,0,8,POINT (-122.048884 37.655469000000004),COM8,High-Code,Low-Rise
36006,37.655469000000004,-122.048884,1492.03971,1,1983,871183.467,348473.387,C,PC1,IND2,0,4,POINT (-122.048884 37.655469000000004),IND2,High-Code,
36007,37.655823,-122.04879,1905.51351,1,1983,989395.112,494697.556,M,RM1,COM1,0,3,POINT (-122.04879 37.655823),COM1,High-Code,Low-Rise
36008,37.655685,-122.04882,15000.0,1,1983,8151081.58,3260432.63,S,S1,COM7,0,12,POINT (-122.04882 37.655685),COM7,High-Code,Low-Rise
36009,37.655134999999994,-122.04866000000001,1581.25,1,1983,687407.88,343703.94,M,RM1,COM3,0,5,POINT (-122.04866000000001 37.655134999999994),COM3,High-Code,Low-Rise
36010,37.64913499999999,-122.04154700000001,1612.0,1,1983,589257.717,392838.478,W,W1,RES1,4,2,POINT (-122.04154700000001 37.64913499999999),RES1,High-Code,
36011,37.649235,-122.04164899999999,1612.0,1,1983,447435.35399999993,298290.236,M,RM1,RES1,2,1,POINT (-122.04164899999999 37.649235),RES1,High-Code,Low-Rise
36012,37.64929599999999,-122.04048100000001,1084.0,2,1983,542536.872,361691.248,W,W1,RES1,3,1,POINT (-122.04048100000001 37.64929599999999),RES1,High-Code,
36013,37.649640999999995,-122.03979700000001,1576.0,1,1983,580919.631,387279.754,M,RM1,RES1,2,1,POINT (-122.03979700000001 37.649640999999995),RES1,High-Code,Low-Rise
36014,37.64976,-122.04113099999998,1920.0,1,1983,503733.841,335822.561,W,W1,RES1,4,3,POINT (-122.04113099999998 37.64976),RES1,High-Code,
36015,37.65020799999999,-122.03998000000001,1352.0,1,1983,407021.196,271347.464,W,W1,RES1,2,1,POINT (-122.03998000000001 37.65020799999999),RES1,High-Code,
36016,37.650336999999986,-122.03947800000002,909.5,2,1983,469365.736,312910.491,M,RM1,RES1,4,2,POINT (-122.03947800000002 37.650336999999986),RES1,High-Code,Low-Rise
36017,37.650449999999985,-122.039549,1845.0,1,1983,491539.94700000004,327693.298,W,W1,RES1,4,3,POINT (-122.039549 37.650449999999985),RES1,High-Code,
36018,37.65066,-122.04426400000001,1360.0,2,1983,614438.599,409625.733,M,RM1,RES1,4,2,POINT (-122.04426400000001 37.65066),RES1,High-Code,Low-Rise
36019,37.650825,-122.04388000000002,1360.0,2,1983,614438.599,409625.733,M,RM1,RES1,2,1,POINT (-122.04388000000002 37.650825),RES1,High-Code,Low-Rise
36020,37.650942,-122.04517900000002,2495.62,1,1983,812328.345,541552.23,W,W1,RES3A,4,2,POINT (-122.04517900000002 37.650942),RES3,High-Code,
36021,37.650913,-122.043663,1330.0,2,1983,730966.914,487311.276,M,RM1,RES1,2,1,POINT (-122.043663 37.650913),RES1,High-Code,Low-Rise
36022,37.651051,-122.043467,1202.5,2,1983,575471.155,383647.437,M,RM1,RES1,4,2,POINT (-122.043467 37.651051),RES1,High-Code,Low-Rise
36023,37.651148,-122.045234,1465.0,2,1983,641617.645,427745.097,M,RM1,RES1,2,1,POINT (-122.045234 37.651148),RES1,High-Code,Low-Rise
36024,37.651106,-122.045752,3365.0,1,1983,704639.035,469759.357,M,RM1,RES1,2,1,POINT (-122.045752 37.651106),RES1,High-Code,Low-Rise
36025,37.65131900000001,-122.044344,1265.0,2,1983,709218.19,472812.127,M,RM1,RES1,4,3,POINT (-122.044344 37.65131900000001),RES1,High-Code,Low-Rise
36026,37.651389999999985,-122.04463999999999,1257.5,2,1983,590037.0009999999,393358.001,M,RM1,RES1,2,1,POINT (-122.04463999999999 37.651389999999985),RES1,High-Code,Low-Rise
36027,37.65144299999999,-122.04633800000002,612.0,1,1983,213708.63640000002,142472.424,M,RM1,RES1,4,2,POINT (-122.04633800000002 37.65144299999999),RES1,High-Code,Low-Rise
36028,37.65148099999999,-122.043554,1200.5,2,1983,574922.112,383281.408,M,RM1,RES1,2,1,POINT (-122.043554 37.65148099999999),RES1,High-Code,Low-Rise
36029,37.65152100000001,-122.042963,1330.0,2,1983,607666.338,405110.892,W,W1,RES1,3,1,POINT (-122.042963 37.65152100000001),RES1,High-Code,
36030,37.651566,-122.04662100000002,1668.18,1,1983,503343.336,335562.224,C,C2,RES3A,2,1,POINT (-122.04662100000002 37.651566),RES3,High-Code,Low-Rise
36031,37.651565,-122.043933,1247.0,2,1983,587335.665,391557.11,W,W1,RES1,2,1,POINT (-122.043933 37.651565),RES1,High-Code,
36032,37.651643,-122.04411199999998,1360.0,2,1983,614438.599,409625.733,M,RM1,RES1,2,1,POINT (-122.04411199999998 37.651643),RES1,High-Code,Low-Rise
36033,37.65169899999999,-122.04579000000001,1741.0,2,1983,721902.868,481268.579,W,W1,RES1,2,1,POINT (-122.04579000000001 37.65169899999999),RES1,High-Code,
